item_id,order_id,product_id,quantity,unit_price,line_total,discount_amount
ITEM_00000001,ORD_00000001,PROD_000481,2,106.74,213.48,14.12
ITEM_00000002,ORD_00000001,PROD_000450,3,693.9,2081.7,261.46
ITEM_00000003,ORD_00000001,PROD_000476,4,54.66,218.64,42.15
ITEM_00000004,ORD_00000001,PROD_000435,5,642.41,3212.0499999999997,603.81
ITEM_00000005,ORD_00000002,PROD_000199,1,185.26,185.26,34.19
ITEM_00000006,ORD_00000002,PROD_000049,5,992.41,4962.05,216.74
ITEM_00000007,ORD_00000002,PROD_000467,1,502.29,502.29,26.23
ITEM_00000008,ORD_00000003,PROD_000403,3,562.89,1688.67,186.62
ITEM_00000009,ORD_00000003,PROD_000207,2,621.54,1243.08,64.48
ITEM_00000010,ORD_00000004,PROD_000472,3,185.09,555.27,44.04
ITEM_00000011,ORD_00000004,PROD_000091,2,280.85,561.7,9.51
ITEM_00000012,ORD_00000004,PROD_000101,2,757.55,1515.1,283.19
ITEM_00000013,ORD_00000004,PROD_000203,5,799.98,3999.9,296.78
ITEM_00000014,ORD_00000004,PROD_000240,2,362.09,724.18,42.96
ITEM_00000015,ORD_00000005,PROD_000408,2,882.03,1764.06,67.21
ITEM_00000016,ORD_00000005,PROD_000259,4,868.73,3474.92,109.51
ITEM_00000017,ORD_00000006,PROD_000077,2,157.16,314.32,2.11
ITEM_00000018,ORD_00000006,PROD_000299,2,330.67,661.34,25.78
ITEM_00000019,ORD_00000007,PROD_000483,4,841.97,3367.88,197.19
ITEM_00000020,ORD_00000007,PROD_000376,3,463.78,1391.34,113.14
ITEM_00000021,ORD_00000008,PROD_000176,1,958.4,958.4,3.59
ITEM_00000022,ORD_00000008,PROD_000330,2,574.56,1149.12,152.44
ITEM_00000023,ORD_00000009,PROD_000180,5,385.62,1928.1,160.3
ITEM_00000024,ORD_00000009,PROD_000031,4,256.99,1027.96,160.66
ITEM_00000025,ORD_00000010,PROD_000272,5,41.9,209.5,34.83
ITEM_00000026,ORD_00000010,PROD_000288,1,632.34,632.34,69.83
ITEM_00000027,ORD_00000011,PROD_000479,3,178.07,534.21,75.94
ITEM_00000028,ORD_00000011,PROD_000304,2,983.77,1967.54,223.94
ITEM_00000029,ORD_00000011,PROD_000396,3,135.93,407.79,31.11
ITEM_00000030,ORD_00000011,PROD_000261,5,311.87,1559.35,299.17
ITEM_00000031,ORD_00000012,PROD_000485,2,570.75,1141.5,202.3
ITEM_00000032,ORD_00000012,PROD_000386,1,694.75,694.75,89.85
ITEM_00000033,ORD_00000012,PROD_000055,4,592.77,2371.08,207.78
