product_id,name,category,brand,price,cost,description,rating,review_count,in_stock,stock_quantity,launch_date
PROD_000001,Reactive grid-enabled product,Electronics,"King, Wright and Reynolds",937.31,74.62,Water travel feel. Suggest remember home road generation place. Name practice TV main scientist type.,4.0,243,False,21,2023-04-18
PROD_000002,User-centric clear-thinking parallelism,Electronics,"Villarreal, Herrera and Roberts",823.44,336.66,"Side agreement charge which play. Offer position his.
Newspaper country help least. Second wrong including weight ability young second trip.
Specific TV care support. Card recognize detail party.",3.9,343,False,0,2022-12-03
PROD_000003,Fully-configurable zero-defect hardware,Clothing,Ellis Group,257.04,38.56,"Think cell speak spend body himself. Seem here at once seek same poor. Plant green serious police magazine just surface enjoy.
Part ago until why try. Follow win sea free as reveal decade.",2.0,110,True,0,2023-07-26
PROD_000004,User-centric tangible artificial intelligence,Home,Parks-Carter,735.25,484.71,"Group boy recent open. Military operation first as themselves account add.
During many itself believe create. Source maybe art rich movie whole beat. Old foot voice economic item.",4.5,504,False,48,2024-12-11
PROD_000005,Digitized interactive paradigm,Electronics,"Gonzalez, Middleton and Griffith",830.51,395.42,"Conference sea activity almost continue. Continue maybe them. Travel affect for store collection scientist.
Small agree important already fire. Floor open center believe teacher.",3.3,776,True,9,2022-07-27
PROD_000006,Compatible bifurcated task-force,Electronics,Scott LLC,301.95,162.76,"Office court politics hair military. Someone citizen run effect.
Four describe control hundred significant. Participant into above enough mention. Cover community approach special week easy.",4.8,75,False,48,2022-11-26
PROD_000007,Fully-configurable scalable migration,Clothing,Harvey Group,734.66,275.79,Black list yeah despite identify. Recently city there since we under hour rest. Full night recognize record imagine.,4.6,95,False,78,2024-06-08
PROD_000008,Assimilated incremental toolset,Home,Long PLC,707.45,218.51,"Not opportunity door part threat. Skin baby benefit team purpose matter big.
Reason because each market decade. Here likely coach store. Wall event party.",3.6,621,False,12,2022-12-04
PROD_000009,Total explicit hardware,Books,Harris-Cabrera,213.48,99.04,Least security one southern. Tonight activity house of measure professor year body. Reflect himself factor least per later. In threat difference.,3.8,739,False,38,2025-03-08
PROD_000010,Operative mission-critical protocol,Clothing,Krueger LLC,104.95,199.49,"Example stay nation reality. Rock western ten management. Also yes training before hundred.
Pressure opportunity price sign answer find together claim. Character no think.",3.2,502,True,0,2023-09-16
PROD_000011,Total mission-critical open system,Electronics,"Davis, Hood and Hebert",433.32,150.8,"Tv him bag skin between. So break theory site.
Radio unit stage you field less test claim. New pretty eye budget subject least place.",3.6,614,False,3,2023-05-03
PROD_000012,Customizable stable implementation,Clothing,Patton LLC,179.11,149.45,"Political budget exist answer report. Turn design anything others.
Home image education general. Your compare pretty science. Ability plan executive result.",1.3,864,True,50,2022-10-01
PROD_000013,Self-enabling tangible superstructure,Home,Reynolds-Bailey,494.2,332.21,"Hand sing fast certainly wrong. Point beat choose identify set gun happen. Him account against amount family.
Stuff above stand meeting. Technology end skin mention sing bill.
Why wonder in.",1.4,557,False,48,2023-04-07
PROD_000014,Inverse coherent moderator,Books,Howard PLC,194.71,27.09,Father ability begin risk never laugh sort direction. Relate very get ahead. Create whose want until clearly poor. Capital stay social join brother record professor what.,2.8,269,True,72,2023-05-03
PROD_000015,Seamless full-range task-force,Electronics,Buchanan PLC,159.61,349.75,"Explain new son explain this. Nearly compare political purpose.
Against develop general wonder nice. Purpose dinner next. Property best station per. Economy truth dream result other add.",1.4,684,False,52,2022-08-19
PROD_000016,Business-focused human-resource groupware,Sports,Stevens-Hall,235.23,35.19,"Know amount human century increase unit. Professional attorney onto necessary cause detail.
Exactly look huge party policy support fast.",2.5,535,False,87,2023-12-20
PROD_000017,Visionary 5thgeneration focus group,Home,Gibson and Sons,576.98,121.64,"Result garden walk huge. Foreign full learn suffer.
His street none. Address everyone hard article you defense. Per full outside grow. Summer focus Mrs special moment.",2.2,404,True,66,2023-04-26
PROD_000018,Diverse radical challenge,Sports,Johnson Inc,680.75,312.04,Must shoulder toward grow drive compare image. Decide teach strong how worry standard seem will. Stuff only matter few.,1.5,775,False,21,2024-05-17
PROD_000019,Optional bandwidth-monitored implementation,Clothing,Lopez LLC,810.37,67.46,"Record ask science government outside. Road often perform. Dinner experience sister risk.
Sea bar his physical. Trouble move away former face safe study.",2.7,699,False,80,2024-09-16
PROD_000020,Cloned clear-thinking algorithm,Clothing,"Moore, Miller and Graves",835.76,132.65,Natural image avoid return art car attorney. Hospital personal quite kid. Pick local into friend career cup.,4.6,936,True,0,2024-01-17
PROD_000021,Total coherent encryption,Sports,"Terry, Clark and Green",403.37,166.43,"Probably maybe herself partner camera long who require. Make network soon market. Now think future decision model among.
Project air hold good red. Fall issue tend theory the hard.",2.1,469,True,79,2023-10-03
PROD_000022,Implemented optimizing interface,Sports,Martin PLC,527.33,212.7,"Store against image catch accept including. Wife industry him up.
Stand approach instead call. Then represent conference war science reduce pass.",2.7,151,True,72,2024-02-18
PROD_000023,Devolved holistic budgetary management,Electronics,"Carter, Rios and Stevens",787.88,434.4,"Power morning behavior laugh quite. Similar cover population thing.
Recognize especially ask two major she knowledge. Culture picture provide support six space.",4.5,898,False,83,2023-01-25
PROD_000024,Organized systematic orchestration,Home,Johnson-Tyler,576.29,239.16,Painting material science beat deal across friend. Paper experience itself trouble card.,1.7,412,True,87,2024-10-16
PROD_000025,Progressive transitional solution,Home,"May, Fernandez and Williams",48.38,445.34,Officer serious same experience point article article. Ask if throw future reach. Course plant billion middle describe financial.,2.3,243,True,34,2023-01-16
PROD_000026,Total bi-directional Internet solution,Books,Rodriguez PLC,30.02,409.61,Wonder military institution be number step. Just often require dark current including. Thank rest ten four without debate couple.,2.2,287,False,87,2024-06-22
PROD_000027,Quality-focused encompassing interface,Electronics,Kelley-Jacobs,972.76,117.84,"Spring simply according. Game citizen stay condition senior involve nice.
First point specific report clearly. Themselves have feel blood.
Sound level couple. Movement nor line.",2.2,761,False,41,2025-03-11
PROD_000028,Versatile bifurcated capability,Books,"Carter, Flores and Steele",731.5,304.46,Tv cup sister article kind bar available. Respond everything cover push. Describe question appear school low start production.,1.4,452,True,52,2024-12-29
PROD_000029,Ergonomic executive time-frame,Home,Smith-Gilbert,761.89,434.26,"Claim station example catch. Radio hair sister person whatever consumer. Often set during perhaps.
Again really long during anyone box manage.",4.3,527,True,0,2023-01-15
PROD_000030,Intuitive executive middleware,Sports,"Reeves, Howard and Kline",409.34,391.36,Blue now line before. His wife represent under world. Table quickly drive choose theory before. Realize stage imagine half single center hotel.,3.1,582,True,25,2024-06-06
PROD_000031,Multi-tiered 3rdgeneration functionalities,Electronics,Lawrence PLC,256.99,230.94,"Decade century theory husband prepare. These receive cup doctor. Suddenly travel high require strategy customer.
Trade arm also appear.",4.7,721,True,59,2024-07-20
PROD_000032,Sharable leadingedge instruction set,Sports,Davis-Townsend,402.96,461.92,"Move poor mention specific. World purpose investment at. Field learn recently eight leader about girl.
Year tell because woman. Water purpose score across party market dark.",3.7,247,False,57,2025-04-22
PROD_000033,Open-source disintermediate Internet solution,Clothing,"Fox, Ortega and Howard",960.91,239.92,"These site claim under commercial city. It kitchen store method now reach.
Beat house stage college nearly political. Whose a fact on space not blood. Game live let its window structure.",3.2,352,True,33,2024-02-01
PROD_000034,Ergonomic object-oriented architecture,Electronics,Lawrence LLC,292.21,196.35,Soon move kid possible success final. Always their guess analysis responsibility contain. Organization police mission language structure.,1.7,585,True,82,2022-07-16
PROD_000035,Grass-roots composite orchestration,Clothing,Morales Ltd,680.91,138.2,Chance Congress dinner country painting start. Administration collection among site material crime wait. Size toward prepare interest employee. Later dream war same explain agent speak.,2.6,20,True,16,2024-05-25
PROD_000036,Reactive national protocol,Clothing,Gomez-Sawyer,605.12,9.19,Media skill no task product. Pressure war picture take story democratic.,2.0,824,False,90,2025-05-11
