session_id,user_id,session_date,page_views,session_duration_minutes,bounce_rate,device_type,browser,traffic_source,conversion,revenue
SESS_00000001,USER_001474,2025-06-07 20:54:44.577734,5,35,False,Mobile,Firefox,Email,True,0.0
SESS_00000002,USER_000966,2025-06-07 20:58:01.089367,11,43,False,Tablet,Chrome,Google,True,152.87
SESS_00000003,USER_000541,2025-06-07 20:54:19.473320,1,119,True,Tablet,Safari,Facebook,True,0.0
SESS_00000004,USER_001509,2025-06-07 20:57:59.190424,17,18,False,Tablet,Edge,Email,False,117.77
SESS_00000005,USER_000796,2025-06-07 20:58:31.551178,13,63,False,Tablet,Edge,Referral,False,0.0
SESS_00000006,USER_000017,2025-06-07 20:54:30.019903,17,99,False,Tablet,Edge,Google,True,148.51
SESS_00000007,USER_001105,2025-06-07 20:55:12.812588,8,42,True,Tablet,Safari,Referral,True,0.0
SESS_00000008,USER_001618,2025-06-07 20:52:53.124053,10,34,False,Mobile,Firefox,Email,True,0.0
SESS_00000009,USER_000742,2025-06-07 20:55:39.162317,10,35,False,Tablet,Firefox,Email,False,0.0
SESS_00000010,USER_001233,2025-06-07 20:53:26.151252,11,33,False,Tablet,Firefox,Referral,False,0.0
SESS_00000011,USER_000113,2025-06-07 20:56:44.854211,15,41,True,Tablet,Firefox,Referral,True,190.91
SESS_00000012,USER_000015,2025-06-07 20:58:37.322638,8,58,True,Tablet,Chrome,Google,False,0.0
SESS_00000013,USER_001945,2025-06-07 20:57:21.514652,20,78,True,Tablet,Chrome,Referral,False,0.0
SESS_00000014,USER_000984,2025-06-07 20:58:01.270840,15,1,False,Mobile,Chrome,Direct,True,0.0
SESS_00000015,USER_001377,2025-06-07 20:55:50.398010,20,28,True,Mobile,Edge,Email,False,0.0
SESS_00000016,USER_000624,2025-06-07 20:57:21.792269,13,105,True,Desktop,Edge,Email,True,0.0
SESS_00000017,USER_000372,2025-06-07 20:53:23.695066,14,53,False,Tablet,Edge,Direct,False,397.77
SESS_00000018,USER_001568,2025-06-07 20:58:02.935245,18,51,True,Tablet,Chrome,Google,True,71.21
SESS_00000019,USER_001638,2025-06-07 20:54:04.378686,14,17,False,Tablet,Edge,Facebook,True,0.0
SESS_00000020,USER_000825,2025-06-07 20:57:19.637021,13,47,False,Tablet,Edge,Email,True,112.5
SESS_00000021,USER_000609,2025-06-07 20:53:16.119410,9,103,True,Mobile,Safari,Facebook,True,0.0
SESS_00000022,USER_001337,2025-06-07 20:54:56.936548,15,49,True,Desktop,Chrome,Direct,True,307.87
SESS_00000023,USER_001837,2025-06-07 20:53:59.925215,9,118,True,Tablet,Chrome,Direct,True,177.68
SESS_00000024,USER_001759,2025-06-07 20:54:34.214476,13,42,True,Mobile,Safari,Email,False,0.0
SESS_00000025,USER_001227,2025-06-07 20:57:25.083799,2,5,True,Tablet,Firefox,Google,True,0.0
SESS_00000026,USER_001856,2025-06-07 20:53:09.014650,11,18,False,Desktop,Safari,Direct,False,0.0
SESS_00000027,USER_000670,2025-06-07 20:55:49.263994,17,89,False,Tablet,Firefox,Email,False,0.0
SESS_00000028,USER_001999,2025-06-07 20:58:19.697939,3,84,True,Mobile,Edge,Referral,True,113.1
SESS_00000029,USER_001698,2025-06-07 20:55:13.025858,11,56,False,Desktop,Chrome,Direct,False,0.0
SESS_00000030,USER_000657,2025-06-07 20:57:00.259240,15,51,False,Desktop,Edge,Google,False,0.0
SESS_00000031,USER_000849,2025-06-07 20:57:53.618201,10,9,True,Desktop,Chrome,Referral,False,0.0
SESS_00000032,USER_001333,2025-06-07 20:56:48.941001,16,114,True,Tablet,Firefox,Email,False,105.98
SESS_00000033,USER_001300,2025-06-07 20:54:54.836419,14,48,False,Mobile,Edge,Direct,True,400.1
SESS_00000034,USER_000452,2025-06-07 20:57:12.808874,18,36,False,Mobile,Firefox,Email,False,0.0
SESS_00000035,USER_000107,2025-06-07 20:54:39.836425,3,112,True,Tablet,Chrome,Facebook,True,491.04
SESS_00000036,USER_000696,2025-06-07 20:54:02.417480,9,106,True,Mobile,Edge,Google,False,323.26
SESS_00000037,USER_001017,2025-06-07 20:55:13.454429,17,11,True,Tablet,Safari,Email,False,122.43
SESS_00000038,USER_001567,2025-06-07 20:56:03.354162,9,100,True,Mobile,Safari,Referral,True,0.0
SESS_00000039,USER_001506,2025-06-07 20:56:39.068230,11,3,False,Tablet,Firefox,Facebook,True,335.81
SESS_00000040,USER_000646,2025-06-07 20:55:41.258524,9,54,False,Desktop,Firefox,Direct,False,0.0
SESS_00000041,USER_001356,2025-06-07 20:55:19.327699,14,14,True,Tablet,Safari,Referral,False,0.0
SESS_00000042,USER_000901,2025-06-07 20:53:41.260008,5,43,True,Desktop,Firefox,Direct,False,0.0
SESS_00000043,USER_000776,2025-06-07 20:54:26.684631,10,30,False,Mobile,Firefox,Referral,True,0.0
SESS_00000044,USER_000521,2025-06-07 20:54:46.956404,1,8,True,Tablet,Firefox,Direct,False,23.92
SESS_00000045,USER_000968,2025-06-07 20:58:31.452433,18,64,True,Desktop,Safari,Google,True,119.95
SESS_00000046,USER_000557,2025-06-07 20:58:37.437491,7,24,True,Mobile,Firefox,Direct,False,0.0
SESS_00000047,USER_001575,2025-06-07 20:58:28.278189,12,91,False,Tablet,Edge,Google,False,0.0
SESS_00000048,USER_000761,2025-06-07 20:55:41.113009,13,102,False,Tablet,Edge,Referral,True,405.13
SESS_00000049,USER_001218,2025-06-07 20:55:39.646903,8,78,False,Desktop,Chrome,Direct,False,0.0
SESS_00000050,USER_001105,2025-06-07 20:56:50.405984,17,66,False,Mobile,Edge,Referral,True,264.67
SESS_00000051,USER_001752,2025-06-07 20:57:37.453964,1,87,False,Mobile,Firefox,Referral,True,0.0
SESS_00000052,USER_001062,2025-06-07 20:53:11.237181,7,2,True,Tablet,Edge,Facebook,False,0.0
SESS_00000053,USER_001626,2025-06-07 20:53:35.801105,1,107,False,Mobile,Safari,Email,True,0.0
SESS_00000054,USER_001391,2025-06-07 20:56:07.585062,13,82,False,Desktop,Firefox,Google,False,0.0
